YIL,AY,ILCE,MAHALLE,ABONELIK_GRUBU,ABONELIK_TURU,ABONE_TIPI,ABONE_ADEDI,ORTALAMA_TUKETIM
2022,5,BORNOVA,EGEMENLİK,Tarım Hayvan,Su,İLÇE BELEDİYE TARIM / HAYVAN,2,161.0
2022,8,KİRAZ,ŞEMSİLER,Konut,Su,KÖY ENGELLİ,4,68.0
2020,8,KARABAĞLAR,OSMAN AKSÜNER,Konut Dışı,Su,İŞYERİ,155,1555.0
2022,9,GÜZELBAHÇE,YAKA,Konut Dışı,Su,İŞYERİ,7,231.0
2023,1,FOÇA,MAREŞAL FEVZİ ÇAKMAK,Konut,Su,KONUT (S),1,7.0
2023,5,BALÇOVA,İNCİRALTI,Konut Dışı,Su,İNŞAAT (ŞANTİYE),2,60.0
2021,3,KINIK,MISTIKLAR,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,69,594.0
2022,7,FOÇA,ATATÜRK,Konut Dışı,Su,TURİSTİK TESİS,1,56.0
2024,6,BORNOVA,EGEMENLİK,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,9,3816.0
2021,9,NARLIDERE,ALTIEVLER,Konut Dışı,Su,ÖZEL OKULLAR,3,367.0
2021,10,TORBALI,YEDİ EYLÜL,Konut,Su,KONUT,642,8832.0
2022,7,BAYRAKLI,FUAT EDİP BAKSI,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,5,6360.0
2021,5,BORNOVA,IŞIKLAR,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,5,323.0
2021,7,KONAK,ŞEHİT NEDİM TUĞALTAY,Konut,Su,KONUT,38,494.0
2023,5,KEMALPAŞA,BAĞYURDU 29 EKİM,Konut Dışı,Su,İBADETHANELER,1,15.0
2021,10,BEYDAĞ,AKTEPE,Konut,Su,ŞEHİT GAZİ,1,31.0
2023,11,KARŞIYAKA,DONANMACI,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,1,13.0
2023,9,URLA,M.FEVZİ ÇAKMAK,Konut,Su,KONUT,1159,16035.0
2020,2,KARABURUN,TEPEBOZ,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,169,1076.0
2023,9,GAZİEMİR,GAZİKENT,Konut,Su,ŞEHİT GAZİ,1,9.0
2023,6,FOÇA,MUSTAFA KEMAL ATATÜRK,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,296.0
2021,12,KİRAZ,YAĞLAR,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,1,17.0
2021,1,MENEMEN,TÜLBENTLİ,Konut Dışı,Su,İŞYERİ,2,90.0
2023,6,ALİAĞA,HACIÖMERLİ,Konut,Su,KÖY ŞEHİT GAZİ,1,9.0
2024,6,BERGAMA,ZEYTİNDAĞ,Konut Dışı,Su,AİLEHEKİM.RES.HAS.,1,6.0
2024,2,KEMALPAŞA,YİĞİTLER,Konut Dışı,Su,AİLEHEKİM.RES.HAS.,1,3.0
2024,8,KINIK,POYRACIK,Konut Dışı,Su,BELDE ŞANTİYE ABONELERİ,1,6.0
2024,1,BALÇOVA,EĞİTİM,Konut,Su,KONUT,5221,47275.0
2022,4,KARABAĞLAR,UĞUR MUMCU,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,141.0
2024,5,KİRAZ,YENİ,Konut,Su,KONUT,1051,8934.0
2023,3,KEMALPAŞA,MEHMET AKİF ERSOY,Konut Dışı,Su,RESMİ OKUL HASTANELER,3,528.0
2023,4,KİRAZ,UZUNKÖY,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,1,4.0
2023,2,SEFERİHİSAR,CAMİKEBİR,Konut Dışı,Su,İBADETHANELER,2,27.0
2020,1,BERGAMA,OVACIK,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,4,56.0
